Steps out_loss reg_loss point_loss train_accuracy time memory
72 1.287 26.043 1.765 0.61 51.76 6651.0
73 0.842 26.027 1.747 0.73 52.12 6651.1
74 0.759 26.011 1.708 0.71 52.51 6629.3
75 1.089 25.995 1.687 0.61 52.92 6629.3
76 0.948 25.979 1.876 0.73 53.12 6629.3
78 0.824 25.963 1.865 0.71 55.83 6814.7
79 1.068 25.947 1.859 0.59 56.15 6814.8
80 0.884 25.931 1.938 0.74 56.53 6814.8
81 0.676 25.915 2.036 0.79 56.89 6815.1
82 0.968 25.899 1.953 0.66 57.22 6816.0
83 0.868 25.883 2.010 0.74 57.60 6816.0
84 1.090 25.867 1.956 0.61 57.97 6816.0
85 0.776 25.850 2.065 0.76 58.32 6816.0
86 0.880 25.834 2.008 0.70 58.72 6816.0
87 1.069 25.818 2.003 0.66 59.11 6816.0
88 0.701 25.801 2.096 0.77 59.43 6816.0
89 1.096 25.784 1.973 0.62 59.75 6816.0
91 0.679 25.768 1.964 0.82 62.46 6945.3
92 0.743 25.752 1.935 0.79 62.86 6919.6
93 0.766 25.735 1.977 0.75 63.24 6919.7
94 0.822 25.719 2.055 0.72 63.59 6919.8
95 0.671 25.703 2.113 0.78 63.97 6919.8
96 0.831 25.686 2.115 0.78 64.32 6919.9
97 0.860 25.670 2.000 0.69 64.68 6869.2
98 0.931 25.653 2.203 0.69 65.07 6869.4
99 0.906 25.636 2.097 0.72 65.42 6869.4
100 1.016 25.620 2.037 0.62 65.78 6846.1
101 1.102 25.603 2.070 0.59 66.15 6846.1
102 0.608 25.586 2.208 0.82 66.41 6846.1
104 0.856 25.569 2.105 0.70 69.23 6966.5
105 0.958 25.553 2.171 0.61 69.59 6929.2
106 0.922 25.537 2.047 0.67 69.96 6929.3
107 0.648 25.520 1.966 0.81 70.33 6929.3
108 0.752 25.504 2.057 0.79 70.72 6929.5
109 0.802 25.487 2.058 0.79 71.09 6929.5
110 0.646 25.470 2.163 0.81 71.46 6929.6
111 0.895 25.454 2.058 0.71 71.80 6929.6
112 0.750 25.437 2.061 0.73 72.15 6929.6
113 0.924 25.420 2.166 0.70 72.52 6929.8
114 0.976 25.404 2.118 0.68 72.87 6929.8
115 0.738 25.387 2.360 0.77 73.16 6929.8
117 0.749 25.370 2.277 0.75 75.92 7052.1
118 0.802 25.353 2.273 0.73 76.28 7032.2
119 0.577 25.337 2.398 0.83 76.64 7032.3
120 0.659 25.320 2.213 0.79 76.99 7032.3
121 0.565 25.304 2.301 0.83 77.33 7032.5
122 0.644 25.287 2.222 0.84 77.69 7032.5
123 0.876 25.271 2.226 0.68 78.06 7003.2
124 0.726 25.254 2.167 0.80 78.42 7003.2
125 0.783 25.237 2.189 0.72 78.79 7003.2
126 0.936 25.221 2.218 0.65 79.12 6953.5
127 1.102 25.204 2.093 0.67 79.49 6953.5
128 0.735 25.187 2.073 0.75 79.79 6953.5
130 0.920 25.170 2.145 0.69 82.44 7158.9
131 0.749 25.154 2.211 0.73 82.77 7102.9
132 1.064 25.137 2.181 0.63 83.10 7073.2
133 0.785 25.121 2.186 0.77 83.48 7029.0
134 0.872 25.105 2.237 0.74 83.83 6999.1
135 0.595 25.088 2.140 0.81 84.21 6999.1
136 0.530 25.072 2.051 0.86 84.57 6999.2
137 0.665 25.055 2.074 0.78 84.90 6948.1
138 0.785 25.039 1.930 0.73 85.30 6948.1
139 0.609 25.022 2.207 0.79 85.67 6948.1
140 0.699 25.006 2.088 0.77 86.03 6917.5
141 0.627 24.989 2.084 0.83 86.35 6917.5
143 0.873 24.973 2.081 0.68 89.09 7015.0
144 0.672 24.956 2.095 0.79 89.43 7015.1
145 0.870 24.940 2.128 0.72 89.81 7015.2
146 0.517 24.924 2.049 0.85 90.19 7004.6
147 0.463 24.908 1.981 0.86 90.58 7004.8
148 0.684 24.892 2.009 0.77 90.95 6965.0
149 0.583 24.876 2.104 0.84 91.32 6965.0
150 0.675 24.859 2.005 0.80 91.67 6965.0
151 0.506 24.843 2.107 0.86 92.02 6965.0
152 0.754 24.827 2.139 0.68 92.32 6965.0
153 0.681 24.810 2.044 0.79 92.70 6965.0
154 1.005 24.794 2.210 0.63 93.06 6965.0
156 0.694 24.778 2.211 0.79 95.84 7065.0
157 0.726 24.762 2.142 0.76 96.19 7065.0
158 0.726 24.746 2.349 0.74 96.53 7065.0
159 0.677 24.730 2.196 0.77 96.81 7065.1
160 0.480 24.714 2.153 0.86 97.17 7065.1
161 0.806 24.699 2.181 0.70 97.51 7065.4
162 0.501 24.683 2.241 0.85 97.86 7065.4
163 0.607 24.667 2.122 0.82 98.18 7065.4
164 0.819 24.651 2.273 0.74 98.58 7065.4
165 0.653 24.635 2.263 0.76 98.90 7036.2
166 0.859 24.619 2.198 0.66 99.23 7036.2
167 0.490 24.603 2.130 0.86 99.57 7035.9
168 0.691 24.587 2.421 0.76 99.77 7036.0
170 0.798 24.571 2.135 0.79 102.48 7061.9
171 0.641 24.555 2.243 0.77 102.84 7094.0
172 0.441 24.540 2.164 0.85 103.22 7094.0
173 0.481 24.524 2.197 0.84 103.61 7094.2
174 0.931 24.509 2.166 0.67 103.96 7094.2
175 0.522 24.493 2.145 0.82 104.30 7064.2
176 0.779 24.478 2.246 0.69 104.57 7064.2
177 0.502 24.462 2.146 0.85 104.95 7064.4
178 0.374 24.446 2.255 0.89 105.31 7064.4
179 0.753 24.431 2.016 0.74 105.65 7064.4
180 0.526 24.415 2.117 0.82 106.03 7064.5
181 1.698 24.400 2.120 0.46 106.33 7015.7
183 0.652 24.384 2.019 0.79 109.26 7093.1
184 0.436 24.369 2.017 0.85 109.66 7093.2
185 0.835 24.354 2.091 0.75 110.03 7052.8
186 0.502 24.338 1.973 0.82 110.31 7052.8
187 0.726 24.323 1.924 0.75 110.70 7052.9
188 0.579 24.308 2.120 0.79 110.98 7052.9
189 0.544 24.293 2.099 0.80 111.37 7033.8
190 0.684 24.278 2.093 0.76 111.71 7033.8
191 0.651 24.262 2.013 0.77 112.08 7033.8
192 0.649 24.247 2.152 0.78 112.45 7033.8
193 0.418 24.232 2.108 0.88 112.82 7033.8
194 0.519 24.217 2.143 0.83 113.19 7033.8
195 1.671 24.202 3.295 0.59 113.34 7033.8
197 0.690 24.187 2.405 0.72 116.23 7146.4
198 0.466 24.172 2.381 0.85 116.60 7146.4
199 0.412 24.157 2.637 0.90 116.98 7060.3
200 0.843 24.143 2.589 0.70 117.30 7060.6
201 0.484 24.128 2.769 0.83 117.67 7060.6
202 0.686 24.114 2.848 0.73 118.01 7062.9
203 0.656 24.099 2.937 0.82 118.39 7062.9
204 0.624 24.085 3.148 0.79 118.78 7032.0
205 0.554 24.071 2.995 0.82 119.12 7032.1
206 0.651 24.056 2.758 0.76 119.52 7032.1
207 0.579 24.042 2.553 0.81 119.87 7032.1
208 1.011 24.027 2.522 0.72 120.18 7032.1
210 0.704 24.013 2.458 0.76 122.91 7071.5
211 0.411 23.999 2.191 0.90 123.31 7072.2
212 0.867 23.985 2.280 0.67 123.69 7072.2
213 0.432 23.971 2.307 0.87 124.03 7049.4
214 0.560 23.957 2.199 0.79 124.38 7049.4
215 0.397 23.943 2.233 0.88 124.76 6998.3
216 0.650 23.929 2.212 0.79 125.11 6998.4
217 0.417 23.915 2.207 0.89 125.50 6998.4
218 0.922 23.901 2.240 0.66 125.79 6998.4
219 0.519 23.887 2.179 0.84 126.17 6998.4
220 0.750 23.874 2.053 0.77 126.55 6950.1
221 0.766 23.860 2.319 0.74 126.86 6931.7
223 0.315 23.846 2.293 0.91 129.78 7012.4
224 0.625 23.832 2.363 0.76 130.13 7024.8
225 0.708 23.819 2.247 0.75 130.52 7024.8
226 0.804 23.805 2.316 0.74 130.86 7025.0
227 0.524 23.792 2.199 0.84 131.23 7025.0
228 0.380 23.778 2.125 0.89 131.61 7025.0
229 0.328 23.764 2.308 0.92 131.98 7025.0
230 0.451 23.751 2.068 0.87 132.37 6973.8
231 0.701 23.737 2.013 0.81 132.76 6973.8
232 0.763 23.724 1.927 0.71 133.12 6974.1
233 0.739 23.710 2.098 0.71 133.47 6974.1
234 0.886 23.696 2.099 0.72 133.69 6974.1
236 0.631 23.683 1.899 0.83 136.51 7091.5
237 0.666 23.670 1.955 0.81 136.87 7091.8
238 0.597 23.656 1.921 0.80 137.16 7091.8
239 0.477 23.643 1.873 0.83 137.51 7062.0
240 0.351 23.630 1.998 0.90 137.88 7062.0
241 0.414 23.617 1.854 0.88 138.26 7062.0
242 0.791 23.603 2.044 0.77 138.62 7062.1
243 0.561 23.590 1.922 0.84 138.99 7062.1
244 0.638 23.577 1.901 0.77 139.38 7062.4
245 0.432 23.563 1.871 0.83 139.75 7062.4
246 0.679 23.550 1.691 0.77 140.10 7006.0
247 0.704 23.537 1.818 0.73 140.40 7006.0
249 0.558 23.523 1.816 0.82 143.17 7192.0
250 0.347 23.510 1.648 0.90 143.56 7157.2
251 0.391 23.497 1.659 0.90 143.93 7146.3
252 0.581 23.484 1.647 0.87 144.28 7146.5
253 0.393 23.472 1.669 0.89 144.62 7146.5
254 0.536 23.459 1.633 0.81 144.98 7146.5
255 0.483 23.446 1.630 0.83 145.34 7146.5
256 0.515 23.433 1.501 0.83 145.72 7068.3
257 0.654 23.420 1.555 0.75 146.06 7068.3
258 0.411 23.407 1.593 0.88 146.44 7068.3
259 0.419 23.394 1.664 0.85 146.75 7068.3
260 0.602 23.381 1.528 0.78 147.08 7068.3
262 0.330 23.368 1.579 0.90 149.80 7100.6
263 0.476 23.355 1.532 0.85 150.15 7100.6
264 0.510 23.342 1.663 0.84 150.45 7048.1
265 0.619 23.330 1.601 0.79 150.81 7048.1
266 0.527 23.317 1.470 0.83 151.20 7048.1
267 0.429 23.305 1.577 0.87 151.57 7048.1
268 0.352 23.292 1.548 0.92 151.95 7048.2
269 0.459 23.279 1.547 0.84 152.32 7048.2
270 0.455 23.266 1.472 0.84 152.70 7048.2
271 0.422 23.254 1.428 0.86 153.09 7048.2
272 1.100 23.241 1.425 0.68 153.47 7048.2
273 0.423 23.228 1.478 0.86 153.74 7048.2
275 0.587 23.216 1.517 0.80 156.67 7170.5
276 0.518 23.203 1.388 0.82 157.04 7170.5
277 0.515 23.191 1.501 0.84 157.34 7170.9
278 0.335 23.179 1.395 0.90 157.69 7171.1
279 0.498 23.166 1.418 0.81 158.06 7171.1
280 0.458 23.154 1.327 0.84 158.46 7171.1
281 0.808 23.141 1.397 0.75 158.71 7171.3
282 0.296 23.129 1.341 0.93 159.10 7171.3
283 0.369 23.117 1.594 0.88 159.46 7171.3
284 0.370 23.104 1.477 0.89 159.84 7171.4
285 0.475 23.092 1.460 0.86 160.21 7141.5
286 0.419 23.079 1.428 0.86 160.57 7141.5
287 0.482 23.067 1.548 0.85 160.72 7141.5
289 0.232 23.055 1.330 0.94 163.81 7182.9
290 0.491 23.043 1.413 0.85 164.17 7183.3
291 0.542 23.030 1.440 0.83 164.51 7149.2
292 0.586 23.018 1.336 0.83 164.86 7149.2
293 0.414 23.006 1.385 0.86 165.25 7149.2
294 0.393 22.994 1.395 0.87 165.61 7149.2
295 0.497 22.982 1.369 0.83 165.97 7100.8
296 0.494 22.970 1.377 0.81 166.32 7100.8
297 0.366 22.958 1.310 0.89 166.62 7100.8
298 0.448 22.946 1.375 0.85 167.02 7100.8
299 0.363 22.934 1.321 0.88 167.41 7100.8
300 0.557 22.922 1.488 0.82 167.73 7100.8
302 0.422 22.910 1.356 0.87 170.65 7189.3
303 0.266 22.898 1.372 0.93 171.04 7189.5
304 0.478 22.886 1.511 0.83 171.40 7189.5
305 0.417 22.875 1.319 0.86 171.76 7189.5
306 0.575 22.863 1.211 0.81 172.13 7189.5
307 0.521 22.851 1.237 0.84 172.48 7189.6
308 0.369 22.840 1.463 0.87 172.83 7189.8
309 0.438 22.828 1.262 0.85 173.19 7190.0
310 0.314 22.816 1.294 0.91 173.56 7190.0
311 0.511 22.804 1.191 0.84 173.92 7190.0
312 0.345 22.793 1.192 0.88 174.31 7190.0
313 0.318 22.781 1.430 0.89 174.51 7190.0
315 0.335 22.769 1.261 0.88 177.53 7218.5
316 0.286 22.758 1.140 0.90 177.90 7218.5
317 0.549 22.746 1.175 0.80 178.26 7218.5
318 0.379 22.735 1.252 0.87 178.70 7218.5
319 0.568 22.723 1.189 0.83 179.01 7218.5
320 0.442 22.712 1.239 0.85 179.36 7218.5
321 0.424 22.701 1.214 0.88 179.69 7218.5
322 0.239 22.689 1.163 0.94 180.09 7135.5
323 0.555 22.678 1.256 0.82 180.43 7135.5
324 0.457 22.666 1.090 0.82 180.80 7135.5
325 0.736 22.655 1.320 0.74 181.14 7135.5
326 0.287 22.643 1.087 0.93 181.46 7135.5
328 0.366 22.632 1.151 0.88 184.26 7186.7
329 0.336 22.621 1.142 0.90 184.54 7186.7
330 0.202 22.610 1.084 0.95 184.90 7186.7
331 0.611 22.599 1.207 0.83 185.26 7186.7
332 0.239 22.588 1.074 0.94 185.63 7186.7
333 0.396 22.576 1.019 0.87 186.01 7186.7
334 0.697 22.565 1.087 0.77 186.35 7186.9
335 0.461 22.554 1.096 0.84 186.70 7186.9
336 0.298 22.543 1.080 0.91 187.06 7186.9
337 0.242 22.532 0.979 0.94 187.45 7186.9
338 0.396 22.521 1.081 0.88 187.81 7186.9
339 0.364 22.510 1.117 0.90 188.12 7187.1
341 0.364 22.499 1.032 0.91 190.72 7276.1
342 0.317 22.488 0.969 0.89 191.06 7307.9
343 0.323 22.477 1.223 0.90 191.42 7252.1
344 0.380 22.466 1.086 0.88 191.76 7252.1
345 0.361 22.456 1.112 0.87 192.12 7252.2
346 0.182 22.445 1.046 0.95 192.39 7252.2
347 0.261 22.434 0.987 0.91 192.80 7252.2
348 0.510 22.423 1.104 0.82 193.16 7252.4
349 0.244 22.413 1.027 0.93 193.55 7252.4
350 0.475 22.402 1.045 0.88 193.90 7252.4
351 0.333 22.391 0.937 0.90 194.26 7252.6
352 0.356 22.380 0.999 0.90 194.61 7252.6
353 0.608 22.369 1.354 0.78 194.79 7252.8
355 0.271 22.359 1.007 0.92 197.60 7304.8
356 0.546 22.348 0.948 0.83 197.96 7304.8
357 0.277 22.338 0.953 0.90 198.31 7304.8
358 0.267 22.327 0.984 0.93 198.69 7304.8
359 0.147 22.317 0.937 0.97 199.07 7304.9
360 0.323 22.306 0.949 0.90 199.40 7305.0
361 0.306 22.296 1.041 0.90 199.78 7305.0
362 0.559 22.286 0.980 0.84 200.09 7305.2
363 0.173 22.275 0.883 0.95 200.47 7305.2
364 0.285 22.265 0.934 0.91 200.84 7305.2
365 0.360 22.254 0.954 0.89 201.24 7305.2
366 0.227 22.244 0.970 0.93 201.51 7305.2
368 0.861 22.233 1.023 0.75 204.48 7399.8
369 0.286 22.223 0.885 0.90 204.86 7400.1
370 0.235 22.213 1.034 0.94 205.24 7400.1
371 0.235 22.203 1.018 0.92 205.62 7400.2
372 0.616 22.193 0.889 0.83 205.98 7400.2
373 0.430 22.183 1.034 0.85 206.34 7383.2
374 0.221 22.173 0.919 0.94 206.72 7383.2
375 0.471 22.162 1.067 0.85 207.07 7383.2
376 0.426 22.152 1.005 0.83 207.35 7383.2
377 0.233 22.142 1.010 0.92 207.74 7334.8
378 0.429 22.132 1.144 0.87 208.04 7334.8
379 0.449 22.122 1.028 0.85 208.38 7334.8
381 0.253 22.112 1.032 0.92 211.28 7394.9
382 0.345 22.102 1.136 0.89 211.62 7394.9
383 0.342 22.092 0.972 0.89 211.99 7372.9
384 0.417 22.083 1.035 0.84 212.26 7372.9
385 0.230 22.073 0.975 0.94 212.63 7372.9
386 0.522 22.063 1.026 0.83 213.01 7372.9
387 0.209 22.053 0.953 0.96 213.40 7372.9
388 0.254 22.043 0.996 0.92 213.76 7372.9
389 0.238 22.034 0.930 0.93 214.15 7373.2
390 0.355 22.024 1.092 0.90 214.52 7373.2
391 0.289 22.014 0.996 0.92 214.89 7373.2
392 0.649 22.004 0.980 0.79 215.15 7373.2
394 0.302 21.994 0.914 0.90 218.01 7373.3
395 0.394 21.985 1.066 0.87 218.23 7411.9
396 0.153 21.975 0.945 0.97 218.62 7411.9
397 0.262 21.966 0.992 0.93 218.96 7412.0
398 0.231 21.956 0.848 0.95 219.33 7412.0
399 0.392 21.947 1.038 0.89 219.69 7412.0
400 0.344 21.938 0.934 0.89 220.06 7412.0
401 0.265 21.928 0.876 0.93 220.45 7412.0
402 0.285 21.919 1.031 0.90 220.82 7412.0
403 0.474 21.909 1.039 0.86 221.19 7412.0
404 0.260 21.900 1.036 0.92 221.55 7412.0
405 0.302 21.890 0.949 0.90 221.90 7412.0
407 0.265 21.881 0.938 0.92 224.87 7451.1
408 0.270 21.871 0.850 0.93 225.21 7451.1
409 0.199 21.862 0.856 0.94 225.56 7451.1
410 0.227 21.853 0.865 0.93 225.94 7451.3
411 0.248 21.844 0.940 0.93 226.32 7451.3
412 0.375 21.835 0.882 0.86 226.67 7451.3
413 0.252 21.825 0.932 0.93 227.05 7451.3
414 0.329 21.816 0.837 0.90 227.40 7451.3
415 0.405 21.807 0.899 0.88 227.79 7451.3
416 0.264 21.798 0.837 0.93 228.17 7451.3
417 0.198 21.789 0.769 0.95 228.53 7451.3
418 0.427 21.780 0.809 0.87 228.77 7451.3
420 0.231 21.770 0.837 0.92 231.82 7541.9
421 0.330 21.761 0.848 0.89 232.19 7541.9
422 0.438 21.753 0.759 0.87 232.56 7541.9
423 0.265 21.744 0.863 0.93 232.92 7520.8
424 0.194 21.735 0.783 0.94 233.29 7478.5
425 0.283 21.726 0.816 0.91 233.65 7478.5
426 0.246 21.717 0.843 0.93 234.03 7478.5
427 0.235 21.708 0.806 0.94 234.40 7478.5
428 0.373 21.699 0.877 0.90 234.74 7478.8
429 0.105 21.690 0.787 0.97 235.12 7478.8
430 0.268 21.681 0.836 0.92 235.45 7478.8
431 0.310 21.672 0.737 0.90 235.74 7479.0
433 0.209 21.664 0.812 0.94 238.61 7565.4
434 0.247 21.655 0.783 0.93 238.98 7565.6
435 0.456 21.646 0.951 0.86 239.22 7566.3
436 0.173 21.638 0.796 0.97 239.52 7566.6
437 0.097 21.629 0.696 0.98 239.93 7566.9
438 0.259 21.620 0.844 0.93 240.27 7566.9
439 0.275 21.612 0.775 0.92 240.65 7566.9
440 0.399 21.603 0.727 0.86 241.03 7567.0
441 0.285 21.595 0.776 0.91 241.43 7567.0
442 0.373 21.586 0.730 0.91 241.79 7567.0
443 0.375 21.577 0.756 0.90 242.16 7567.0
444 0.169 21.569 0.718 0.95 242.51 7567.0
445 0.468 21.560 0.957 0.85 242.71 7567.0
447 0.237 21.552 0.738 0.95 245.65 7610.3
448 0.262 21.543 0.772 0.92 246.00 7574.4
449 0.325 21.535 0.790 0.90 246.35 7517.7
450 0.182 21.527 0.742 0.95 246.75 7517.9
451 0.265 21.518 0.788 0.91 247.11 7517.9
452 0.227 21.510 0.728 0.93 247.46 7517.9
453 0.121 21.502 0.672 0.97 247.84 7518.2
454 0.192 21.493 0.801 0.94 248.21 7518.2
455 0.245 21.485 0.769 0.93 248.56 7518.2
456 0.231 21.477 0.791 0.91 248.90 7518.2
457 0.247 21.468 0.704 0.91 249.26 7518.2
458 0.281 21.460 0.822 0.92 249.50 7518.2
460 0.254 21.452 0.711 0.92 252.46 7593.6
461 0.198 21.444 0.752 0.94 252.83 7593.8
462 0.254 21.436 0.714 0.91 253.20 7593.8
463 0.223 21.428 0.808 0.94 253.53 7593.8
464 0.183 21.420 0.840 0.94 253.88 7570.4
465 0.176 21.411 0.746 0.95 254.25 7570.4
466 0.260 21.403 0.754 0.93 254.62 7570.4
467 0.420 21.395 0.763 0.89 254.98 7570.4
468 0.215 21.387 0.767 0.93 255.35 7570.4
469 0.176 21.379 0.759 0.94 255.68 7570.4
470 0.250 21.371 0.723 0.92 256.03 7570.4
471 0.178 21.363 0.835 0.94 256.34 7570.4
473 0.145 21.355 0.698 0.96 259.27 7555.8
474 0.246 21.347 0.719 0.92 259.60 7555.9
475 0.090 21.339 0.670 0.97 259.94 7555.9
476 0.166 21.332 0.728 0.95 260.28 7555.9
477 0.255 21.324 0.686 0.93 260.65 7555.9
478 0.199 21.316 0.754 0.94 260.99 7555.9
479 0.161 21.308 0.756 0.95 261.40 7556.0
480 0.310 21.300 0.771 0.92 261.78 7556.0
481 0.213 21.293 0.689 0.93 262.15 7556.0
482 0.140 21.285 0.716 0.96 262.46 7556.0
483 0.198 21.277 0.702 0.95 262.83 7556.0
484 0.481 21.269 0.731 0.83 263.13 7556.1
486 0.242 21.261 0.734 0.93 266.08 7608.3
487 0.160 21.254 0.753 0.95 266.44 7608.3
488 0.247 21.246 0.691 0.92 266.81 7608.8
489 0.241 21.239 0.737 0.92 267.19 7608.8
490 0.169 21.231 0.736 0.95 267.54 7608.8
491 0.188 21.224 0.703 0.95 267.89 7609.0
492 0.121 21.216 0.686 0.97 268.25 7609.0
493 0.315 21.209 0.707 0.92 268.61 7609.0
494 0.279 21.201 0.757 0.91 269.00 7609.0
495 0.187 21.193 0.724 0.94 269.35 7609.0
496 0.155 21.186 0.662 0.96 269.76 7609.0
497 0.156 21.178 0.728 0.96 270.01 7609.0
499 0.149 21.171 0.751 0.95 272.96 7614.2
500 0.272 21.163 0.727 0.91 273.35 7596.5
501 0.192 21.156 0.804 0.95 273.71 7596.5
502 0.113 21.149 0.671 0.97 274.08 7596.5
503 0.321 21.142 0.700 0.92 274.45 7596.5
504 0.256 21.134 0.704 0.92 274.83 7596.5
505 0.192 21.127 0.682 0.95 275.19 7545.2
506 0.183 21.120 0.706 0.95 275.51 7545.2
507 0.213 21.112 0.689 0.94 275.83 7545.2
508 0.251 21.105 0.647 0.92 276.06 7545.2
509 0.135 21.098 0.647 0.96 276.44 7545.2
510 0.114 21.090 0.660 0.97 276.78 7545.2
512 0.207 21.083 0.674 0.94 279.77 7560.7
513 0.215 21.076 0.763 0.93 280.11 7560.7
514 0.294 21.069 0.759 0.90 280.37 7560.7
515 0.144 21.062 0.619 0.97 280.70 7560.7
516 0.164 21.055 0.652 0.95 281.06 7560.9
517 0.219 21.048 0.709 0.93 281.39 7560.9
518 0.478 21.041 0.676 0.85 281.75 7560.9
519 0.269 21.033 0.683 0.92 282.11 7560.9
520 0.156 21.026 0.702 0.96 282.49 7560.9
521 0.152 21.019 0.725 0.95 282.84 7541.1
522 0.115 21.012 0.648 0.97 283.16 7541.3
523 0.199 21.005 0.755 0.94 283.53 7541.3
524 0.200 20.998 0.712 0.94 283.80 7541.3
526 0.219 20.991 0.870 0.92 286.91 7664.6
527 0.116 20.984 0.678 0.96 287.27 7629.8
528 0.246 20.977 0.728 0.93 287.63 7630.0
529 0.224 20.970 0.724 0.95 287.97 7630.0
530 0.178 20.964 0.665 0.94 288.34 7575.3
531 0.273 20.957 0.675 0.91 288.69 7531.8
532 0.106 20.950 0.643 0.97 289.04 7531.8
533 0.191 20.943 0.646 0.94 289.41 7531.8
534 0.140 20.936 0.718 0.95 289.73 7531.8
535 0.234 20.929 0.595 0.93 290.11 7531.8
536 0.181 20.922 0.698 0.94 290.44 7531.8
537 0.129 20.916 0.629 0.97 290.82 7531.6
539 0.118 20.909 0.686 0.96 293.64 7608.8
540 0.187 20.902 0.629 0.94 293.92 7588.9
541 0.142 20.895 0.601 0.96 294.31 7556.1
542 0.148 20.889 0.698 0.96 294.67 7522.9
543 0.114 20.882 0.609 0.97 295.05 7522.9
544 0.125 20.876 0.695 0.96 295.42 7522.9
545 0.149 20.869 0.619 0.95 295.77 7477.1
546 0.270 20.862 0.735 0.91 296.12 7477.1
547 0.175 20.856 0.645 0.95 296.47 7477.1
548 0.195 20.849 0.615 0.95 296.85 7477.1
549 0.204 20.842 0.638 0.94 297.20 7477.1
550 0.155 20.836 0.672 0.95 297.57 7477.1
551 0.443 20.829 0.790 0.85 297.70 7477.1
553 0.205 20.823 0.620 0.94 300.80 7528.4
554 0.137 20.816 0.634 0.96 301.14 7528.4
555 0.095 20.810 0.660 0.97 301.49 7528.4
556 0.217 20.803 0.669 0.94 301.83 7528.4
557 0.179 20.797 0.694 0.94 302.19 7528.4
