Steps out_loss reg_loss point_loss train_accuracy time memory
0 4.007 26.745 0.778 0.14 14.00 5261.5
1 3.725 26.744 0.797 0.12 14.44 5396.0
2 3.472 26.743 0.793 0.16 14.83 5253.4
3 3.208 26.742 0.759 0.14 15.16 5200.6
4 3.129 26.740 0.863 0.18 15.52 5151.5
5 2.708 26.737 0.918 0.28 15.85 5151.6
6 2.224 26.734 1.071 0.37 16.21 5152.4
7 2.285 26.731 1.101 0.36 16.60 5154.2
8 2.007 26.727 1.137 0.39 16.99 5154.9
9 2.245 26.723 1.177 0.41 17.38 5155.6
10 1.914 26.719 1.260 0.46 17.76 5055.9
11 2.199 26.714 1.304 0.44 18.13 5055.9
13 2.211 26.708 1.248 0.45 21.56 5956.2
14 1.739 26.703 1.313 0.51 21.85 5957.4
15 1.489 26.697 1.223 0.61 22.22 5958.0
16 1.357 26.690 1.254 0.62 22.60 5957.8
17 1.226 26.683 1.319 0.60 22.96 5958.2
18 1.010 26.676 1.215 0.69 23.33 5958.2
19 1.402 26.669 1.343 0.61 23.68 5958.2
20 1.481 26.661 1.285 0.57 24.09 5904.5
21 1.216 26.653 1.326 0.62 24.48 5904.5
22 1.511 26.645 1.204 0.53 24.87 5904.6
23 2.009 26.636 1.266 0.40 25.25 5904.6
24 1.243 26.627 1.155 0.66 25.57 5904.6
26 1.272 26.618 1.404 0.70 28.50 6393.0
27 1.185 26.608 1.409 0.61 28.88 6370.5
28 1.375 26.599 1.421 0.59 29.23 6370.6
29 1.286 26.589 1.321 0.63 29.65 6370.6
30 1.058 26.579 1.282 0.68 30.05 6370.7
31 0.890 26.568 1.318 0.72 30.45 6370.7
32 1.119 26.557 1.312 0.65 30.84 6321.9
33 1.115 26.546 1.347 0.67 31.25 6322.0
34 1.064 26.535 1.336 0.70 31.64 6253.4
35 1.210 26.524 1.416 0.60 31.98 6253.5
36 1.664 26.512 1.232 0.52 32.32 6253.5
37 1.000 26.500 1.310 0.67 32.64 6253.5
39 1.050 26.488 1.453 0.65 35.49 6515.9
40 0.901 26.475 1.335 0.71 35.87 6542.8
41 1.169 26.463 1.444 0.58 36.18 6543.0
42 1.153 26.451 1.345 0.66 36.60 6494.6
43 0.952 26.438 1.369 0.74 36.99 6441.3
44 0.885 26.425 1.364 0.69 37.36 6441.3
45 0.780 26.412 1.306 0.74 37.73 6441.4
46 1.210 26.398 1.443 0.54 38.09 6429.7
47 1.273 26.385 1.344 0.52 38.50 6429.7
48 0.987 26.371 1.465 0.66 38.89 6429.7
49 1.020 26.357 1.420 0.67 39.24 6429.7
50 1.549 26.343 1.497 0.63 39.53 6429.7
52 0.700 26.329 1.527 0.82 42.29 6575.5
53 0.963 26.315 1.538 0.70 42.69 6575.2
54 0.919 26.301 1.599 0.72 43.09 6525.5
55 1.012 26.286 1.764 0.66 43.43 6525.6
56 1.408 26.272 1.718 0.61 43.75 6525.6
57 0.899 26.257 1.793 0.66 44.13 6526.1
58 0.925 26.243 1.746 0.73 44.52 6526.1
59 1.233 26.228 1.798 0.58 44.91 6526.2
60 1.151 26.213 1.749 0.55 45.32 6477.9
61 1.020 26.198 1.789 0.67 45.66 6479.2
62 0.846 26.182 1.838 0.73 46.01 6479.5
63 0.777 26.167 1.829 0.76 46.27 6479.5
65 0.914 26.151 1.849 0.72 49.14 6783.1
66 0.913 26.136 1.723 0.69 49.52 6750.9
67 0.969 26.121 1.845 0.68 49.87 6751.0
68 0.846 26.106 1.828 0.77 50.21 6751.1
69 0.837 26.090 1.743 0.72 50.61 6699.9
70 1.025 26.074 1.804 0.67 50.99 6700.1
71 0.874 26.059 1.772 0.69 51.38 6700.1
